,,Noblesville,
month,day,price,quantity
1,1,7.65,"2,530"
1,8,12.82,"2,342"
1,15,10.01,"2,403"
1,22,12.51,"2,265"
1,29,11.81,"2,312"
2,5,6.15,"2,583"
2,12,9.37,"2,448"
2,19,12.82,"2,306"
2,26,9.25,"2,414"
3,5,12.14,"2,338"
3,12,9.99,"2,417"
3,19,10.77,"2,440"
3,26,8.87,"2,488"
4,2,7.28,"2,537"
4,9,10.35,"2,427"
4,16,10.26,"2,468"
4,23,11.07,"2,428"
4,30,10.65,"2,420"
5,7,10.21,"2,448"
5,14,10.48,"2,444"
5,21,9.59,"2,464"
5,28,12.13,"2,330"
6,4,10.65,"2,450"
6,11,9.98,"2,467"
6,18,5.68,"2,595"
6,25,11.88,"2,340"
7,2,8.14,"2,543"
7,9,8.94,"2,503"
7,16,11.40,"2,363"
7,23,11.10,"2,429"
7,30,8.30,"2,539"
8,6,8.74,"2,532"
8,13,11.30,"2,424"
8,20,9.34,"2,465"
8,27,8.95,"2,503"
9,3,8.61,"2,488"
9,10,12.12,"2,316"
9,17,12.16,"2,411"
9,24,14.50,"2,294"
10,1,6.88,"2,610"
10,8,7.35,"2,545"
10,15,11.99,"2,409"
10,22,9.43,"2,528"
10,29,11.72,"2,440"
11,5,9.90,"2,448"
11,12,13.94,"2,309"
11,19,8.87,"2,534"
11,26,11.63,"2,427"
12,3,7.93,"2,481"
12,10,10.84,"2,412"
12,17,12.27,"2,404"
12,24,10.56,"2,444"
12,31,10.93,"2,498"
