,,Noblesville,,Bloomington,
month,day,price,quantity,price,quantity
1,6,11.41,"2,626",,
1,13,15.97,"2,438",,
1,20,15.13,"2,321",,
1,27,12.32,"2,523",,
2,3,13.84,"2,423",,
2,10,12.11,"2,431",,
2,17,6.80,"2,859",,
2,24,12.07,"2,459",,
3,2,10.58,"2,548",,
3,9,7.06,"2,655",,
3,16,10.59,"2,660",,
3,23,14.54,"2,373",,
3,30,12.17,"2,480",,
4,6,12.59,"2,422",,
4,13,13.50,"2,337",,
4,20,10.53,"2,466",,
4,27,11.38,"2,490",,
5,4,8.93,"2,627",,
5,11,15.57,"2,348",,
5,18,13.91,"2,432",,
5,25,12.89,"2,396",,
6,1,14.23,"2,478",,
6,8,13.25,"2,505",,
6,15,13.52,"2,295",,
6,22,10.93,"2,649",,
6,29,14.07,"2,387",,
7,6,14.02,"2,281",14.02,"2,525"
7,13,12.12,"2,334",12.12,"2,645"
7,20,12.85,"2,636",12.85,"2,801"
7,27,11.74,"2,489",11.74,"2,743"
8,3,13.24,"2,389",13.24,"2,559"
8,10,12.20,"2,515",12.20,"2,750"
8,17,14.29,"2,433",14.29,"2,596"
8,24,9.79,"2,570",9.79,"2,776"
8,31,12.41,"2,638",12.41,"2,719"
9,7,13.65,"2,332",13.65,"2,750"
9,14,13.13,"2,490",13.13,"2,644"
9,21,13.36,"2,429",13.36,"2,622"
9,28,11.08,"2,713",11.08,"2,815"
10,5,9.77,"2,567",9.77,"2,868"
10,12,10.90,"2,574",10.90,"2,668"
10,19,13.39,"2,387",13.39,"2,602"
10,26,11.17,"2,556",11.17,"2,757"
11,2,13.85,"2,434",13.85,"2,567"
11,9,12.15,"2,497",12.15,"2,540"
11,16,13.81,"2,366",13.81,"2,760"
11,23,16.44,"2,433",16.44,"2,520"
11,30,16.74,"2,247",16.74,"2,430"
12,7,13.32,"2,598",13.32,"2,548"
12,14,12.49,"2,368",12.49,"2,872"
12,21,16.30,"2,544",16.30,"2,770"
12,28,14.58,"2,451",14.58,"2,665"
,,,,,
